Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
CHMI,Cherry Hill Mortgage Investmen,18.42,-1.85,237677000,13.01%,0.43%,12.91%,67% Sell,NYSE,-1.50%,19.43,16,18.71
CHRS,Coherus Bio,12.05,-1.62,647136000,-60.35%,0.00%,39.66%,67% Sell,NASDAQ,-4.37%,31.05,10.8,12.82
CHRW,C.H. Robinson Ww,78.71,-0.07,11062214000,13.45%,13.90%,17.14%,100% Buy,NASDAQ,-0.15%,81.16,63.41,78.52
CHS,Chico's Fas,8.16,-0.82,1073955000,-32.48%,-44.50%,51.56%,67% Sell,NYSE,-2.51%,16.85,6.96,8.27
CHSP,Chesapeake Lodging Trust,27.69,0.35,1658435000,21.07%,-16.50%,17.94%,67% Buy,NYSE,0.36%,28.77,20.81,27.59
CHTR,Charter Communicatio,338.5,-0.63,87746256000,31.53%,114.82%,15.78%,33% Sell,NASDAQ,-0.52%,408.83,241.5,341.67
CHUBA,Commercehub Inc,22.06,-1.72,969233000,46.12%,0.00%,16.16%,67% Buy,NASDAQ,-1.56%,24.53,13.24,22.46
CHUBK,Commercehub Inc,20.89,-1.82,921658000,38.54%,0.00%,16.14%,67% Buy,NASDAQ,-1.97%,22.5,13.14,21.41
CHUY,Chuy's Holdings Inc,22.3,-1.67,385548000,-16.76%,-23.77%,24.27%,33% Buy,NASDAQ,-2.19%,35.3,18,22.78
CI,Cigna Corp,193.67,0,48817624000,55.99%,94.73%,13.21%,100% Buy,NYSE,-0.11%,195.13,115.03,193.47
CIA,Citizens Inc,7.42,-1.54,382110000,-7.11%,4.66%,42.68%,Hold,NYSE,-2.75%,11.93,5.86,7.52
CIEN,Ciena Corp,21.89,-1.12,3162011000,9.90%,32.22%,19.37%,67% Sell,NYSE,-1.22%,27.98,18.94,22.19
CIM,Chimera Investment Corp,18.56,-2.76,3541531000,17.88%,20.90%,8.33%,33% Sell,NYSE,-1.59%,20.9,15.39,18.93
CINF,Cincinnati Financial,75.38,-1.46,12505115000,5.21%,51.10%,10.74%,67% Buy,NASDAQ,-1.15%,81.98,68.11,76.13
CIO,City Office REIT Inc,13.13,-1.71,402155000,1.15%,0.76%,10.55%,67% Buy,NYSE,-1.20%,13.93,11.43,13.32
CIR,Circor International,53.04,-1.15,885885000,-2.93%,-28.56%,15.25%,67% Sell,NYSE,-1.21%,72.96,46.97,53.69
CIT,Cit Group Inc [Del],46.21,-1.88,6434279000,29.02%,-2.90%,20.08%,67% Sell,NYSE,-2.74%,50.4,35.14,48.29
CIVB,Civista Bncshrs,22.55,0.42,228113000,51.89%,122.52%,18.65%,67% Buy,NASDAQ,0.53%,23.75,14.26,22.49
CIVI,Civitas Solutions Inc,18.25,0,679952000,2.54%,12.48%,31.73%,67% Buy,NYSE,0.27%,20.98,15.4,18.28
CIX,Compx International Inc,14.87,-0.67,175263000,27.03%,27.60%,58.33%,33% Sell,AMEX,5.46%,16.7,10.5,14.22
CJ,C&J Energy Services Inc,24.91,-1.76,1616293000,-36.32%,0.00%,23.18%,100% Sell,NYSE,-2.50%,46.3,24.3,25.89
CKH,Seacor Smit Inc,45.04,-0.88,805651000,56.33%,10.22%,15.87%,67% Buy,NYSE,-0.88%,47.28,22.75,45.32
CL,Colgate-Palmolive Company,70.93,-1.23,63279544000,-0.41%,7.42%,14.80%,67% Sell,NYSE,-1.27%,77.27,63.43,71.88
CLAR,Clarus Corp,7.28,-0.41,219073000,46.46%,-5.93%,26.56%,67% Buy,NASDAQ,-0.27%,7.95,4.75,7.19
CLCT,Collectors Universe,23.58,-1.6,212207000,21.46%,-3.29%,15.16%,67% Sell,NASDAQ,-0.88%,28.83,16.54,23.9
CLD,Cloud Peak Energy Inc,4.36,-0.76,337379000,-20.44%,-62.49%,61.62%,100% Buy,NYSE,-2.90%,8.04,2.78,4.47
CLDR,Cloudera Inc,15.2,-2.22,2171852000,-15.75%,0.00%,41.09%,100% Sell,NYSE,-5.88%,23.35,15.13,16.19
CLDT,Chatham Lodging Trust [Reit],21.44,0.11,842875000,17.03%,-16.16%,12.28%,67% Buy,NYSE,-0.19%,22.36,16.45,21.52
CLDX,Celldex Therapeutics,2.49,-2.13,334967000,-24.39%,-84.42%,42.51%,Hold,NASDAQ,-4.60%,5.02,2.2,2.66
CLF,Cleveland-Cliffs Inc.,6.76,-0.93,2069640000,8.07%,-37.85%,53.62%,33% Sell,NYSE,-3.15%,12.37,4.91,6.91
CLFD,Clearfield Inc,13.5,0.51,186796000,-26.63%,-8.72%,23.36%,Hold,NASDAQ,0.75%,21.6,11,13.55
CLGX,Corelogic,48.7,-0.51,4121073000,19.44%,55.82%,9.57%,100% Buy,NYSE,-0.37%,49.3,34.59,48.96
CLH,Clean Harbors,55.04,-1.54,3197543000,20.83%,12.73%,13.33%,Hold,NYSE,-1.63%,61.62,43.03,56.14
CLI,Mack-Cali Realty Corp,22.76,-0.83,2055343000,-14.02%,22.05%,13.38%,100% Sell,NYSE,-0.44%,29.7,22.45,22.87
CLNE,Clean Energy Fuels,2.3,-1.5,356148000,-46.27%,-67.72%,24.96%,67% Sell,NASDAQ,-2.54%,4.36,2.18,2.36
CLNS,Colony Northstar Inc,12.45,-1.38,6936109000,-12.14%,-30.57%,8.75%,67% Sell,NYSE,-1.03%,16.08,12.37,12.58
CLPR,Clipper Realty Inc,11.04,0.4,194307000,-18.67%,0.00%,25.54%,67% Sell,NYSE,1.19%,15,9.98,10.95
CLR,Continental Resources,37.19,-0.84,14115776000,-27.46%,-33.26%,23.72%,67% Buy,NYSE,-1.14%,60.3,29.08,37.73
CLSD,Clearside Biomedi,7.56,-0.8,195371000,-61.77%,0.00%,41.44%,67% Sell,NASDAQ,-1.95%,24.73,5.44,7.8
CLVS,Clovis Oncology Inc,74.56,-0.69,3699239000,145.33%,26.85%,33.75%,67% Sell,NASDAQ,-1.48%,99.45,25.81,75.46
CLW,Clearwater Paper Corp,45.05,-0.16,744279000,-18.91%,-29.60%,43.76%,67% Sell,NYSE,-0.55%,68.4,42.2,45.23
CLX,Clorox Company,126.05,-1.02,16397368000,5.29%,27.85%,16.03%,100% Sell,NYSE,-0.91%,141.76,111.24,127.21
CLXT,Calyxt Inc,23.3,0.19,619514000,108.98%,0.00%,80.57%,N/A,NASDAQ,0.04%,31.89,9.26,23.59
CMA,Comerica Inc,78.45,-0.87,13843440000,52.14%,66.65%,17.31%,33% Buy,NYSE,-1.40%,80.04,49.81,79.53
CMC,Commercial Metals Company,21.6,-0.46,2523064000,32.68%,26.03%,30.02%,33% Buy,NYSE,-0.87%,24.64,15.16,21.82
CMCO,Columbus Mckinnon,36.94,-1.97,850662000,112.09%,32.13%,12.56%,67% Buy,NASDAQ,-1.73%,38.64,16.86,37.46
CMCSA,Comcast Corp A,36.6,-0.01,1.72038E+11,13.13%,31.89%,21.67%,100% Sell,NASDAQ,0.27%,42.18,30.02,36.55
CMD,Cantel Medical,95,-0.77,4021937000,28.65%,127.31%,28.29%,67% Buy,NYSE,-1.43%,99.83,68.19,96.72
CME,CME Group Inc,132.92,-1.15,45571736000,28.90%,59.97%,9.07%,67% Buy,NASDAQ,-0.86%,138.49,98.95,134.2
CMG,Chipotle Mexican Grill,275.14,-4.04,9245793000,-32.06%,-49.17%,63.92%,100% Sell,NYSE,-15.16%,499,275,323.03
CMI,Cummins Inc,176.08,-2.16,29903406000,40.55%,22.04%,7.92%,100% Buy,NYSE,-1.30%,180.32,121.22,178.72
CMO,Capstead Mortgage Corp,9.23,-2.39,907278000,-2.57%,-25.73%,13.05%,100% Sell,NYSE,-2.22%,11.41,9.22,9.5
CMP,Compass Minerals Intl Inc,66.35,-1.41,2272704000,-6.69%,-21.57%,16.03%,Hold,NYSE,-1.26%,84.4,59.72,66.89
CMPR,Cimpress N.V. Ord,105.96,-1.21,3345638000,10.91%,61.16%,20.54%,100% Buy,NASDAQ,-1.66%,109.23,78.8,108.14
CMRE,Costamare Inc,6.07,0.61,641340000,-16.55%,-70.83%,21.68%,67% Sell,NYSE,1.17%,8.18,5.07,6.03
CMRX,Chimerix Inc,5,-0.42,236662000,11.89%,-83.80%,38.55%,67% Sell,NASDAQ,-0.60%,6.64,3.66,4.98
CMS,Cms Energy Corp,47.88,-1.78,13654924000,15.12%,48.21%,9.62%,67% Buy,NYSE,-1.12%,49.11,38.78,48.33
CMT,Core Molding Technologies Inc,22.77,-0.81,182648000,26.60%,73.83%,31.58%,67% Buy,AMEX,-1.51%,24.5,13.55,23.21
CMTL,Comtech Telecom Co,21.43,-0.21,511903000,102.55%,-43.00%,94.37%,67% Buy,NASDAQ,-1.24%,22.9,9.52,21.74
CNA,Cna Financial Corp,50.44,-0.12,13696846000,42.98%,29.32%,10.46%,67% Buy,NYSE,-0.20%,53.67,34.51,50.51
CNAT,Conatus Pharmaceutic,4.8,-0.7,146100000,137.62%,-32.36%,32.89%,100% Sell,NASDAQ,-1.44%,9.4,1.45,4.93
CNBKA,Century Bancorp Inc,84.35,-0.45,473172000,84.50%,123.67%,18.82%,67% Buy,NASDAQ,-0.71%,89.3,45.3,85.17
CNC,Centene Corp,90.02,-1.64,16044089000,37.70%,100.76%,31.86%,67% Buy,NYSE,-3.23%,98.71,50,92.78
CNCE,Concert Pharmaceutic,17.01,-0.59,395033000,96.28%,19.00%,79.79%,100% Buy,NASDAQ,-2.30%,19.11,7.11,17.31
CNDT,Conduent Inc,15.33,-1.15,3257325000,11.59%,0.00%,17.08%,100% Sell,NYSE,-1.10%,18.15,13.1,15.52
CNK,Cinemark Holdings Inc,36.18,-0.37,4236014000,-9.07%,2.97%,20.03%,67% Sell,NYSE,-0.52%,44.84,32.03,36.19
CNMD,C O N M E D Cp,52.85,-0.21,1476689000,34.59%,25.96%,15.32%,67% Buy,NASDAQ,-0.08%,54.47,37.6,52.75
CNO,Cno Financial Group,24.81,0.37,4174794000,65.13%,36.24%,12.25%,100% Buy,NYSE,0.45%,25.03,14.85,24.62
CNOB,Connectone Bancorp,24.95,-1.2,808252000,35.23%,36.49%,15.82%,67% Buy,NASDAQ,-1.19%,26.65,18,25.35
CNP,Centerpoint Energy Inc,29.14,-1.98,12753882000,28.63%,20.53%,11.72%,67% Buy,NYSE,-1.52%,30.45,21.91,29.61
CNS,Cohn & Steers Inc,41.9,-0.11,1953397000,12.86%,-1.56%,21.15%,33% Buy,NYSE,-0.69%,45.5,33.16,42.31
CNSL,Consolidated Communications Holdings Inc,19.11,0.08,1346668000,-20.48%,-26.60%,20.98%,67% Sell,NASDAQ,0.53%,30.23,17.21,19.19
CNTY,Century Casinos In,8.06,0,197473000,21.72%,48.35%,15.37%,67% Buy,NASDAQ,-0.12%,8.89,6,8.06
CNX,Consol Energy Inc,15.86,-1.01,3708729000,-6.65%,-56.20%,24.54%,67% Buy,NYSE,-1.61%,22.34,13.55,16.13
CNXN,PC Connection Inc,26.88,-1,731094000,8.12%,14.47%,20.11%,67% Buy,NASDAQ,-1.54%,30.48,22.31,27.43
COBZ,Cobiz Financial Inc,20.94,0.89,864428000,58.88%,72.13%,28.28%,100% Buy,NASDAQ,1.21%,21.18,12.4,20.79
COF,Capital One Financial Corp,90.42,1.02,43299928000,19.98%,8.16%,16.13%,100% Buy,NYSE,1.01%,96.92,71.91,89.44
COG,Cabot Oil & Gas Corp,24.48,-2.08,11525251000,18.42%,-19.87%,15.17%,Hold,NYSE,-1.77%,27.14,20.02,25.02
COGT,Cogint Inc,4.62,-0.46,256913000,35.29%,45.31%,37.03%,Hold,NASDAQ,-0.65%,6.3,2.9,4.66
COH,Coach Inc,39.78,-1.1,11439074000,11.47%,17.10%,18.68%,67% Sell,NYSE,-1.19%,48.85,34.16,40.18
COHR,Coherent Inc,260.5,-0.33,6467838000,146.73%,303.07%,20.92%,33% Buy,NASDAQ,-0.80%,281,100.01,263.52
COHU,Cohu Inc,24.85,-1.8,705431000,126.89%,147.35%,17.66%,67% Buy,NASDAQ,-1.51%,25.34,10.76,25.17
COKE,Coca Cola Bot Cons,220.4,-1.46,2088054000,52.42%,147.46%,11.15%,67% Sell,NASDAQ,-1.52%,249.54,125,223.85
COL,Rockwell Collins,134.93,-0.45,21997536000,68.68%,60.57%,4.68%,100% Buy,NYSE,-0.14%,135.48,80.1,135.14
COLB,Columbia Banking Sys,41.72,-1.19,2470642000,30.56%,52.34%,14.24%,67% Buy,NASDAQ,-1.42%,45.68,31.75,42.26
COLL,Collegium Pharma,10.91,-0.69,329410000,-35.15%,0.00%,41.63%,67% Sell,NASDAQ,-2.06%,18.02,7.37,11.19
COLM,Columbia Sprtswr,62.17,-0.56,4368443000,7.16%,62.51%,17.81%,100% Buy,NASDAQ,-0.73%,63.65,51.56,62.48
COMM,Commscope Holding Co,31.82,-1.44,6254496000,1.63%,50.42%,17.84%,100% Sell,NASDAQ,-1.79%,42.75,29.91,32.37
CONE,Cyrusone Inc,61.13,0.7,5529436000,25.85%,121.79%,17.96%,67% Buy,NASDAQ,0.92%,65.73,38.8,60.47
CONN,Conn's Inc,31.75,0.26,976873000,211.76%,0.61%,72.31%,100% Buy,NASDAQ,1.44%,32.2,7.75,30.43
COO,Cooper Companies,237.07,-0.66,11725973000,31.02%,46.16%,16.22%,67% Sell,NYSE,-1.04%,256.39,158.73,238.39
COP,Conocophillips,50.35,-1.62,62052280000,20.19%,-29.33%,14.34%,67% Buy,NYSE,-1.26%,53.17,41.13,50.91
COR,Coresite Realty Corp,113.8,0.06,3890349000,45.05%,206.92%,15.76%,67% Buy,NYSE,0.16%,120.85,64.81,113.1
CORE,Core Mark Holding,33.41,-0.18,1543846000,-4.86%,14.87%,15.65%,Hold,NASDAQ,0.24%,44.12,26.08,33.33
CORI,Corium Intl,9.48,-0.91,345963000,87.52%,78.60%,38.31%,67% Buy,NASDAQ,-2.07%,11.37,2.67,9.86
CORR,Corenergy Infrastructure Trust Inc,35.49,-1.22,426972000,31.24%,-4.45%,13.88%,Hold,NYSE,-1.09%,37.25,25.1,35.97
CORT,Corcept Therapeutics,18.86,-0.12,2153466000,167.09%,484.31%,57.54%,67% Buy,NASDAQ,-0.68%,20.77,6.68,19.06
COST,Costco Wholesale,161.68,-0.08,70919104000,7.34%,21.68%,25.66%,Hold,NASDAQ,-0.38%,183.18,142.11,162.06
COTV,Cotiviti Holdings,34.21,-2.26,3234245000,3.39%,0.00%,18.04%,100% Sell,NYSE,-2.51%,45.97,29.19,35.14
COTY,Coty Inc,15.23,-0.23,11492392000,-33.82%,-7.53%,24.76%,100% Sell,NYSE,-0.78%,23.24,15.2,15.4
COUP,Coupa Software Inc,34.84,-0.52,1888328000,29.41%,0.00%,25.33%,100% Buy,NASDAQ,-1.11%,37.72,22.5,35.51
COWN,Cowen Group Inc,15.3,-1,484692000,19.73%,-3.47%,28.21%,33% Sell,NASDAQ,-1.92%,18.25,11.6,15.6
CPA,Copa Holdings S.A.,126.05,-0.61,5617359000,35.46%,8.89%,24.06%,67% Buy,NYSE,-1.00%,134.25,83.34,126.87
CPB,Campbell Soup Company,45.5,-1.42,13863449000,-14.90%,4.44%,15.91%,67% Sell,NYSE,-1.37%,64.23,44.99,46.22
CPE,Callon Petroleum Company,10.01,-1.51,2070776000,-30.04%,56.40%,30.23%,Hold,NYSE,-2.44%,18.53,9.34,10.3
CPF,Central Pacific Financial Co,31.43,-3.11,992040000,25.12%,72.43%,17.70%,Hold,NYSE,-3.56%,33.55,24.54,32.72
CPK,Chesapeake Utilities Corp,79.65,-0.52,1309651000,27.09%,65.50%,15.18%,67% Buy,NYSE,-0.62%,82.15,58,80.33
CPLA,Capella Education Co,66.8,-0.84,786558000,-1.52%,-4.72%,18.23%,67% Sell,NASDAQ,-0.89%,99.25,65.4,67.78
CPN,Calpine Corp,14.9,-0.33,5302419000,22.53%,-34.62%,6.37%,67% Buy,NYSE,-0.13%,14.95,9.3,14.92
CPRT,Copart Inc,35.85,-1.29,8344644000,35.62%,116.27%,8.22%,100% Buy,NASDAQ,-0.86%,36.65,25.37,36.19
CPRX,Catalyst Pharm Inc,2.74,-0.74,235077000,136.52%,-6.40%,46.73%,Hold,NASDAQ,-1.44%,3.2,0.94,2.74
CPS,Cooper Std Hldg Inc,113.27,0.73,1991079000,24.32%,105.75%,19.91%,67% Buy,NYSE,0.86%,118.6,82.5,112.32
CPSI,Computer Programs,30.8,-2.18,432752000,17.43%,-50.06%,14.01%,33% Buy,NASDAQ,-2.07%,36.15,18.25,31.32
CPT,Camden Property Trust,91.37,0.49,8461697000,15.55%,19.09%,8.89%,67% Buy,NYSE,0.07%,96.39,75.36,91.31
CR,Crane Company,84.64,-1.04,5113680000,26.33%,37.61%,12.89%,33% Buy,NYSE,-1.35%,86.5,65.88,85.35
CRAI,Cra International,42.06,-0.69,346637000,55.73%,40.57%,23.03%,67% Buy,NASDAQ,-0.26%,43.43,26.66,42.26
CRAY,Cray Inc,18.45,-0.93,760975000,-12.66%,-45.61%,27.30%,Hold,NASDAQ,-2.12%,22.85,16.1,19
CRBP,Corbus Pharma,6.75,-0.6,346518000,-6.90%,130.00%,57.82%,67% Buy,NASDAQ,-2.17%,10.5,4.65,6.97
CRC,California Resources Corporatio,8.99,-2.76,420857000,-21.83%,0.00%,52.03%,67% Buy,NYSE,-8.64%,23.42,6.47,9.86
CRCM,Care.Com Inc,15.11,-0.11,456374000,68.61%,84.70%,18.65%,67% Buy,NYSE,-1.44%,16.92,7.51,15.41
CRD.B,Crawford Co Cl B,11.9,-0.86,680497000,3.00%,19.65%,22.95%,67% Buy,NYSE,-2.30%,14.37,8.22,12.15
CREE,Cree Inc,32.14,-1.21,3304374000,41.26%,6.96%,56.52%,100% Buy,NASDAQ,-4.54%,35.46,20.5,33.83
CRI,Carter's Inc,93.41,-0.49,4485019000,9.79%,20.02%,15.53%,67% Buy,NYSE,-0.38%,99.75,77.94,93.84
CRIS,Curis Inc,1.6,-0.69,270402000,-41.52%,25.95%,41.99%,67% Sell,NASDAQ,-3.03%,3.72,1.47,1.66
CRL,Charles River Laboratories Intl,115.08,-0.12,5463808000,43.65%,81.78%,6.89%,100% Buy,NYSE,0.24%,115.96,67.2,114.56
CRM,Salesforce.Com Inc,98.72,0.53,70906944000,31.89%,54.18%,10.32%,100% Buy,NYSE,0.06%,99.54,66.43,98.4
CRMT,America's Car-Mart,42.6,-0.99,316173000,5.21%,-6.70%,18.76%,100% Buy,NASDAQ,-0.70%,47.75,30.2,43.02
CROX,Crocs Inc,10.51,0,753480000,35.31%,-10.10%,33.19%,100% Buy,NASDAQ,0.10%,10.69,5.93,10.46
CRR,Carbo Ceramics,7,-0.42,188964000,-28.81%,-86.53%,49.24%,Hold,NYSE,0.57%,16.7,5.66,6.84
CRS,Carpenter Technology Corp,50.25,-1.58,2389904000,30.11%,2.12%,18.36%,67% Buy,NYSE,-1.68%,51.66,30.37,50.9
CRUS,Cirrus Logic Inc,53.13,-0.44,3419680000,-0.86%,177.72%,21.83%,67% Sell,NASDAQ,-0.88%,71.97,49.05,53.65
CRVL,Corvel Cp,59.15,-0.42,1118096000,72.15%,73.16%,28.67%,100% Buy,NASDAQ,-0.76%,60.85,31,59.68
CRVS,Corvus Pharma Com,14.13,0.13,293020000,-0.64%,0.00%,43.66%,67% Buy,NASDAQ,0.93%,22.14,8.27,14.29
CRY,Cryolife,20,-0.25,675690000,17.65%,96.88%,62.33%,Hold,NYSE,-0.99%,24,14.02,20.18
CRZO,Carrizo Oil & Gas,14.95,-0.13,1210198000,-60.02%,-71.39%,37.49%,67% Sell,NASDAQ,0.61%,43.96,11.1,15.03
CSBK,Clifton Bancorp Inc,16.72,-0.19,373302000,11.10%,28.57%,10.14%,Hold,NASDAQ,-0.12%,17.49,14.91,16.72
CSCO,Cisco Systems Inc,34.2,-1.16,1.71239E+11,13.14%,41.32%,10.10%,100% Buy,NASDAQ,-1.10%,34.68,29.12,34.5
CSFL,Centerstate Bks Inc,26.49,-1.11,1621620000,42.54%,131.96%,13.84%,67% Buy,NASDAQ,-1.89%,27.78,18.01,26.91
CSGP,Costar Group Inc,277.81,-1.32,10025225000,30.77%,74.28%,16.97%,67% Buy,NASDAQ,-1.04%,291.95,179.21,281.43
CSGS,C S G Sys Intl,41.13,0.83,1378123000,6.62%,54.81%,9.79%,33% Buy,NASDAQ,0.22%,51.34,35.48,41.1
CSII,Cardiovascular Syst,25.12,-1.64,844202000,11.09%,-17.68%,18.32%,100% Sell,NASDAQ,-1.57%,33.11,21.29,25.6
CSL,Carlisle Companies Inc,110.19,3.59,6672016000,6.78%,18.83%,21.42%,100% Buy,NYSE,4.33%,116.4,92.09,105.61
CSLT,Castlight Health Inc,4.25,0,559683000,-8.60%,-66.03%,25.53%,Hold,NYSE,unch,5.5,3.05,4.23
CSOD,Cornerstone Ondemand,39.01,-1.28,2279017000,-7.23%,9.13%,13.59%,67% Buy,NASDAQ,-1.44%,44.25,30.31,39.64
CSRA,Csra Inc,31.76,0.78,5156159000,24.41%,0.00%,16.74%,67% Sell,NYSE,0.70%,33.67,24.48,31.59
CSS,Css Industries,29.38,-0.29,266428000,17.89%,2.63%,9.43%,67% Buy,NYSE,0.24%,29.93,23.16,29.45
CSTE,Caesarstone Sdot-Yam,28.4,-1.75,990709000,-22.51%,-48.35%,14.29%,100% Sell,NASDAQ,-1.56%,44,26.35,29
CSTR,Capstar Financial Holdings Inc,20.7,-0.69,239696000,16.62%,0.00%,44.20%,100% Buy,NASDAQ,-1.90%,22.35,15.9,21.11
CSU,Capital Senior Living Corp,12.26,-1.2,498831000,-22.86%,-43.64%,27.41%,67% Sell,NYSE,-3.31%,17.89,11.6,12.66
CSV,Carriage Services,24.19,-1.85,409640000,-0.41%,22.75%,12.02%,67% Sell,NYSE,-1.27%,29.11,23.15,24.56
CSWI,Csw Industrials Inc,48.4,-0.94,773049000,57.17%,0.00%,13.88%,100% Buy,NASDAQ,-0.51%,49.15,29.25,48.73
CSX,CSX Corp,53.11,-1.67,48555808000,72.45%,52.48%,20.02%,Hold,NASDAQ,-2.25%,55.48,30.01,54.48
CTAS,Cintas Corp,149.72,-1.27,16035356000,40.29%,105.97%,9.34%,100% Buy,NASDAQ,-0.75%,152.83,102.07,151.06
CTB,Cooper Tire & Rubber Company,37.3,0,1946687000,4.86%,15.80%,14.96%,Hold,NYSE,unch,44.5,32.78,37.57
CTBI,Community TR Bancp,50.7,-0.09,897636000,37.24%,41.31%,24.90%,100% Buy,NASDAQ,-0.20%,51.35,35.85,50.47
CTL,Centurylink,18.51,-0.76,10299691000,-35.03%,-54.82%,28.67%,67% Sell,NYSE,-1.23%,33.45,18.17,18.84
CTLT,Catalent Inc,42.3,-0.99,5662927000,77.90%,64.96%,22.58%,67% Buy,NYSE,-1.49%,43.39,21.83,42.88
CTMX,Cytomx Thera,19.99,-0.11,740718000,60.01%,0.00%,76.10%,67% Buy,NASDAQ,-0.50%,24.67,9.85,20.21
CTO,Consolidated-Tomoka Land Co,57.4,0.34,317948000,12.99%,9.18%,33.84%,67% Buy,AMEX,0.74%,61.7,48.65,57.27
CTRE,Caretrust REIT Inc,18.68,-0.22,1426161000,32.14%,20.99%,15.45%,Hold,NASDAQ,-0.59%,19.86,12.7,18.92
CTRL,Control4 Corp,26.38,-1.49,686385000,122.93%,78.01%,38.08%,67% Buy,NASDAQ,-4.45%,30.83,9.97,27.91
CTRN,Citi Trends Inc,21.72,-0.48,298845000,8.98%,-3.97%,21.33%,33% Buy,NASDAQ,-0.14%,22.73,15.54,21.78
CTS,Cts Corp,25.5,0.18,836033000,49.12%,38.32%,17.53%,100% Buy,NYSE,0.20%,25.95,16.45,25.42
CTSH,Cognizant Tech Sol,74.15,-1.17,44113408000,46.74%,52.90%,6.93%,100% Buy,NASDAQ,-0.72%,75,50.43,74.51
CTT,Catchmark Timber Trust Inc,12.48,-0.4,538247000,14.68%,7.44%,22.24%,67% Buy,NYSE,-0.72%,13.11,10.05,12.59
CTWS,Conn Water Svcs In,62.18,-0.12,717340000,19.89%,66.80%,18.46%,100% Buy,NASDAQ,0.29%,64.14,49.23,62.19
CTXS,Citrix Systems Inc,82.11,-0.65,12604117000,22.29%,62.68%,15.63%,33% Buy,NASDAQ,-1.30%,87.99,65.55,83.11
CUB,Cubic Corp,55.95,0,1521993000,35.02%,16.29%,20.41%,100% Buy,NYSE,-0.27%,56.3,39.58,55.53
CUBE,Cubesmart,25.8,-0.07,4652764000,-0.71%,22.66%,12.75%,67% Buy,NYSE,-0.08%,28.06,22.83,26.01
CUBI,Customers Bancorp,30.41,-1.2,952323000,20.01%,62.25%,22.31%,67% Buy,NYSE,-1.87%,36.93,24.68,31.13
CUBN,Commerce Un Bcsh,24.04,-0.19,217562000,22.98%,92.96%,27.17%,33% Sell,NASDAQ,-0.32%,26.2,19.02,24.02
CUDA,Barracuda Networks Inc,23.03,-0.26,1239293000,-5.20%,-27.65%,49.48%,Hold,NYSE,-0.99%,26.16,19.06,23.26
CULP,Culp Inc,30.3,-0.15,377554000,4.66%,59.99%,17.09%,67% Sell,NYSE,-0.16%,37.8,26.8,30.35
CUNB,Cu Bancorp,37.5,1.57,668625000,58.43%,93.30%,16.26%,67% Buy,NASDAQ,1.63%,40.3,22.6,37.35
CUTR,Cutera Inc,37.5,0.12,523274000,178.44%,255.71%,36.19%,67% Buy,NASDAQ,0.40%,44.4,12.45,37.67
CUZ,Cousins Properties Inc,9.12,-1.28,3872308000,17.78%,-29.13%,10.81%,67% Buy,NYSE,-1.08%,9.59,7.09,9.23
CVA,Covanta Holding Corp,15.07,-0.28,1978402000,1.35%,-31.58%,19.01%,67% Buy,NYSE,-0.20%,16.5,13,15.08
CVBF,Cvb Financial Corp,23.67,-0.97,2652653000,41.07%,52.60%,21.25%,67% Buy,NASDAQ,-1.70%,25.25,16.32,24.06
CVCO,Cavco Inds Inc,152.4,-0.24,1399453000,68.18%,112.91%,17.79%,100% Buy,NASDAQ,-1.77%,156.4,88.65,154.85
CVCY,Central Vly Cmty Bcp,21.02,0.04,282481000,47.85%,93.71%,23.69%,67% Sell,NASDAQ,0.38%,23.94,13.75,21.06
CVG,Convergys Corp,26.14,-0.47,2451399000,-11.95%,30.29%,16.85%,67% Buy,NYSE,-0.53%,29.84,20.15,26.16
CVGI,Commercial Vehicle G,8.13,-1.65,261747000,56.73%,29.62%,39.30%,33% Buy,NASDAQ,-4.24%,9.62,4.36,8.53
CVGW,Calavo Growers Inc,68.85,-1.3,1224471000,12.64%,43.90%,14.11%,67% Sell,NASDAQ,-1.43%,76.85,48.75,70.08
CVI,Cvr Energy Inc,26.73,-1.21,2365249000,77.82%,-43.93%,22.38%,67% Buy,NYSE,-1.87%,28.45,12.03,27.17
CVLT,Commvault Systems,51.3,-0.82,2389800000,-7.54%,18.40%,38.25%,33% Sell,NASDAQ,-2.29%,64.6,47.61,52.22
CVLY,Codorus Valley Bncp,31.5,-0.59,284426000,50.17%,64.26%,30.40%,67% Buy,NASDAQ,-1.65%,34.75,19.99,32.08
CVNA,Carvana Co. Class A,13.15,-0.94,1810846000,19.68%,0.00%,44.45%,100% Sell,NYSE,-3.59%,23.7,8.14,13.38
CVRS,Corindus Vascular Robotics Inc,1.09,-0.41,207903000,12.89%,-71.17%,53.29%,100% Sell,AMEX,-1.80%,2.25,0.4,1.13
CVS,CVS Corp,74.82,-0.86,77269488000,-14.27%,-11.42%,26.02%,67% Sell,NYSE,-1.57%,87.93,69.3,75.95
CVTI,Covenant Transportn,28.74,0.22,525655000,76.77%,38.57%,45.53%,100% Buy,NASDAQ,0.42%,30.6,15.85,28.96
CVX,Chevron Corp,118.37,-0.98,2.25941E+11,17.57%,-0.60%,10.25%,67% Buy,NYSE,-0.72%,120.89,99.87,119.41
